GEOID10,STATEFP,COUNTYFP,TRACTCE,AFFGEOID,POPULATION,MEDAGE,MEDHHINC,MEDHOUSING,PCPREWAR,MEDYRBUILT,DENSITY
36005002300,36,005,002300,1400000US36005002300,4774,29,14479,406,26.8,1957,118157.60630703808
36005002701,36,005,002701,1400000US36005002701,3016,29,20153,627,40.6,1952,94522.13559855278
36005004100,36,005,004100,1400000US36005004100,6476,23,18636,655,31.3,1955,90794.61865503185
36005004800,36,005,004800,1400000US36005004800,3999,30,30301,1066,51.1,1942,68668.20046144055
36005006700,36,005,006700,1400000US36005006700,7421,28,21016,753,37.3,1950,90478.27965918185
36005008900,36,005,008900,1400000US36005008900,3438,28,20849,745,55.5,NA,80735.3160638674
36005011900,36,005,011900,1400000US36005011900,5603,29,22097,923,52,NA,86443.50120029785
36005013000,36,005,013000,1400000US36005013000,1364,44,77917,1535,19.7,1958,30416.927538228407
36005015800,36,005,015800,1400000US36005015800,1202,38,77045,1704,18.9,1958,19196.216308208368
36005016600,36,005,016600,1400000US36005016600,2252,39,63421,1643,18.7,1956,20421.667848927387
36005017500,36,005,017500,1400000US36005017500,7004,30,22000,760,58.4,NA,119664.33774646587
36005018301,36,005,018301,1400000US36005018301,4202,42,29987,1109,59.1,NA,160347.85443187176
36005021001,36,005,021001,1400000US36005021001,9254,35,48396,1150,21.3,1946,124570.55738216141
36005022102,36,005,022102,1400000US36005022102,5010,30,18664,1115,52.2,NA,165734.35530634923
36005022800,36,005,022800,1400000US36005022800,6231,33,45069,1343,42.4,1946,93719.49121064827
36005025100,36,005,025100,1400000US36005025100,6564,33,28615,1075,55.5,NA,81215.12658064577
36005028800,36,005,028800,1400000US36005028800,3527,42,91125,1401,33.4,1951,27171.639051494385
36005031200,36,005,031200,1400000US36005031200,2015,42,62275,1635,23.1,1946,25827.971850084876
36005033700,36,005,033700,1400000US36005033700,2277,44,83917,1654,43.9,1947,13900.248136782115
36005035900,36,005,035900,1400000US36005035900,1960,37,22250,984,25.5,1986,37790.05947994134
36005038000,36,005,038000,1400000US36005038000,4755,37,33506,1100,20.9,1960,57660.383172975635
36005039200,36,005,039200,1400000US36005039200,1750,39,39457,1311,42.8,1943,47147.51284665155
36005039600,36,005,039600,1400000US36005039600,4287,33,35221,1327,37.2,1960,49740.30039646097
36005039901,36,005,039901,1400000US36005039901,5168,32,22747,1115,63.2,NA,88260.500771493
36005040600,36,005,040600,1400000US36005040600,3635,39,44773,1325,74.3,NA,42156.14941319232
36005042300,36,005,042300,1400000US36005042300,4485,30,31786,1214,47.2,1941,64399.34459129818
36005043600,36,005,043600,1400000US36005043600,2244,40,57564,1728,57.7,NA,37580.96017484529
36005044902,36,005,044902,1400000US36005044902,2031,35,62656,1341,41.9,1945,33569.449693040115
36047000100,36,047,000100,1400000US36047000100,4304,45,70938,1309,50.2,1942,53641.05398603553
36047002901,36,047,002901,1400000US36047002901,3532,31,17544,449,28,1946,83724.63748272485
36047003500,36,047,003500,1400000US36047003500,1550,38,61525,1390,63.5,NA,30177.944327091493
36047004900,36,047,004900,1400000US36047004900,2520,36,116950,2277,81.3,NA,66919.26506172334
36047005602,36,047,005602,1400000US36047005602,1730,36,60164,1193,32.8,1953,33176.45450775974
36047006200,36,047,006200,1400000US36047006200,2818,37,47050,1433,59,NA,44977.20621421925
36047007800,36,047,007800,1400000US36047007800,5493,32,42000,1316,68.7,NA,103007.6899083366
36047008600,36,047,008600,1400000US36047008600,0,NA,NA,NA,NA,NA,0
36047011000,36,047,011000,1400000US36047011000,2708,26,40238,1285,63.8,NA,44373.857255834846
36047014000,36,047,014000,1400000US36047014000,1843,39,59130,1346,78.3,NA,32356.854462385272
36047017200,36,047,017200,1400000US36047017200,4040,34,70125,1353,38.7,1946,50719.09182565535
36047018300,36,047,018300,1400000US36047018300,2692,34,93625,2087,78.3,NA,50777.05133601824
36047019700,36,047,019700,1400000US36047019700,3508,40,83650,1824,66.1,NA,53499.607859763164
36047021000,36,047,021000,1400000US36047021000,4946,38,44722,1191,62.5,NA,85391.99845348799
36047023500,36,047,023500,1400000US36047023500,4015,25,45406,1508,41,1951,73451.35279076667
36047024900,36,047,024900,1400000US36047024900,3973,34,48315,1215,84.2,NA,61069.831473744176
36047025901,36,047,025901,1400000US36047025901,1914,27,41289,1366,57.7,NA,61782.43244388499
36047027000,36,047,027000,1400000US36047027000,2539,38,50490,1206,57.9,NA,49073.375461743395
36047027500,36,047,027500,1400000US36047027500,4346,34,55990,1549,85.7,NA,69448.58554523131
36047028200,36,047,028200,1400000US36047028200,3226,37,41974,1214,24.7,1953,48800.05424758345
36047029300,36,047,029300,1400000US36047029300,3426,31,30479,1067,53.7,NA,53954.14622400584
36047030100,36,047,030100,1400000US36047030100,2752,40,44911,1291,71.4,NA,36658.816326530614
36047034200,36,047,034200,1400000US36047034200,5748,46,16656,414,6.6,1972,64738.71874551551
36047035602,36,047,035602,1400000US36047035602,4835,58,32348,859,11.9,1964,73324.15202829304
36047037100,36,047,037100,1400000US36047037100,4705,30,46641,1438,59.4,NA,64357.46824613012
36047040000,36,047,040000,1400000US36047040000,3429,37,41759,1211,66.7,NA,46255.5669375
36047042700,36,047,042700,1400000US36047042700,5609,27,47055,1340,67.8,NA,97981.60517991435
36047043700,36,047,043700,1400000US36047043700,6122,29,42500,1392,72.3,NA,94309.102856769
36047044700,36,047,044700,1400000US36047044700,2480,28,50114,1438,55.1,NA,39452.18163615034
36047046400,36,047,046400,1400000US36047046400,2710,20,43889,1487,53.5,NA,41510.88198243487
36047048100,36,047,048100,1400000US36047048100,3092,33,72717,1634,43.4,1950,52929.21326362681
36047049800,36,047,049800,1400000US36047049800,4535,37,67907,1465,42.3,1943,57478.67881593564
36047050804,36,047,050804,1400000US36047050804,5782,32,50440,1173,52.1,NA,145246.1190847987
36047052700,36,047,052700,1400000US36047052700,6705,31,32022,1076,57.5,NA,91411.34117647058
36047053800,36,047,053800,1400000US36047053800,4265,43,27192,1260,44.7,1944,67170.76101695947
36047055200,36,047,055200,1400000US36047055200,3179,41,41850,1175,41.5,1946,49106.10698459465
36047056600,36,047,056600,1400000US36047056600,2747,38,61779,1401,39.9,1947,41477.85831049962
36047059200,36,047,059200,1400000US36047059200,4599,44,61164,1074,29.1,1949,54313.85740472216
36047063800,36,047,063800,1400000US36047063800,1649,48,69405,1397,58.9,NA,30681.241735032545
36047067200,36,047,067200,1400000US36047067200,1699,36,63571,2398,48.2,1941,25255.196152367178
36047067800,36,047,067800,1400000US36047067800,2392,43,81847,1902,8.3,1959,37270.9466616934
36047072000,36,047,072000,1400000US36047072000,1969,37,63000,1844,9,1961,32229.986930252544
36047074000,36,047,074000,1400000US36047074000,4264,30,60170,1197,72.1,NA,68008.15843535238
36047076600,36,047,076600,1400000US36047076600,2467,36,59926,1386,43.3,1945,77375.33478650487
36047079200,36,047,079200,1400000US36047079200,3771,34,37295,1196,87.2,NA,45072.68298175743
36047079802,36,047,079802,1400000US36047079802,5956,32,53221,1192,55.1,NA,145019.07013123753
36047082200,36,047,082200,1400000US36047082200,7608,34,38997,1179,77.2,NA,116004.43129382258
36047085000,36,047,085000,1400000US36047085000,1600,41,75417,2170,51.1,NA,28655.65889650308
36047087600,36,047,087600,1400000US36047087600,1693,32,40109,1139,40.6,1945,30832.973666261172
36047090200,36,047,090200,1400000US36047090200,3886,30,42734,891,13.3,1975,52816.40096557514
36047092000,36,047,092000,1400000US36047092000,3406,31,32292,1148,19.1,1981,37198.12914243788
36047095400,36,047,095400,1400000US36047095400,4852,37,72610,1994,11.3,1963,53017.904263667275
36047101600,36,047,101600,1400000US36047101600,1594,40,98208,1736,4.5,1964,36724.01992563469
